temperature_C,acceleration_nrad_s2
23.43302,462.02232
23.56697,462.01503
23.60587,462.0212
23.64905,462.01961
23.71697,462.0286
23.79006,462.02133
23.85947,462.02104
23.94174,462.01895
24.01222,462.02046
24.06876,462.02274
23.99162,462.01578
23.96532,462.01465
23.82398,462.02451
23.75272,462.01817
23.7213,462.014
23.7076,462.01594
23.68049,462.01632
23.59172,462.02659
23.45622,462.01506
23.32265,462.00992
23.36579,462.02504
23.48721,462.02492
23.50171,462.01759
23.5009,462.01272
23.52186,462.02414
23.60597,462.02102
23.70283,462.01862
23.78237,462.01599
23.8779,462.02191
23.94699,462.02212
23.98571,462.01421
23.88358,462.00628
23.81365,462.01514
23.73838,462.01422
23.67968,462.01475
23.46036,462.0123
23.35036,462.00945
23.30126,462.02489
23.26623,462.01003
23.15928,462.01647
