run_number,config,G_1e11,G_sigma_1e11
1,AAF-I,6.674534,0.000104
2,AAF-I,6.674585,9.9e-05
3,AAF-I,6.674473,0.000107
4,AAF-I,6.674543,9.5e-05
7,AAF-II,6.674431,8.5e-05
8,AAF-II,6.674399,8.5e-05
9,AAF-II,6.674416,8.6e-05
10,AAF-II,6.674424,9e-05
11,AAF-II,6.674302,8.6e-05
12,AAF-II,6.674304,8.3e-05
13,AAF-II,6.674327,8.5e-05
14,AAF-II,6.674338,8.7e-05
15,AAF-II,6.674362,8.5e-05
16,AAF-II,6.674447,8.6e-05
19,AAF-III,6.674519,7.8e-05
20,AAF-III,6.674468,7.9e-05
21,AAF-III,6.674534,8e-05
22,AAF-III,6.674516,8e-05
23,AAF-III,6.674495,8e-05
24,AAF-III,6.67456,8.4e-05
25,AAF-III,6.674539,8.4e-05
26,AAF-III,6.674555,8.1e-05
27,AAF-III,6.67452,8.1e-05
28,AAF-III,6.674551,7.9e-05
29,AAF-III,6.674607,7.9e-05
30,AAF-III,6.67458,8.4e-05
31,AAF-III,6.674497,8e-05
32,AAF-III,6.674538,8e-05
33,AAF-III,6.674543,8.2e-05
