time_near_day,T_near_s,time_far_day,T_far_s,fiber_id,source_file,source_sheet,pair_id
1.4962403,431.48876,4.4964407,433.1897,1,source_data_fig2.xlsx,a,1
7.4982279,431.48824,10.539449,433.1893,1,source_data_fig2.xlsx,a,2
13.494995,431.48786,16.498627,433.18886,1,source_data_fig2.xlsx,a,3
19.497922,431.48743,22.495088,433.18836,1,source_data_fig2.xlsx,a,4
25.496455,431.48694,28.498168,433.188,1,source_data_fig2.xlsx,a,5
31.505269,431.4866,34.498999,433.18774,1,source_data_fig2.xlsx,a,6
37.499222,431.48637,40.522373,433.1874,1,source_data_fig2.xlsx,a,7
43.526933,431.48596,46.50435,433.18703,1,source_data_fig2.xlsx,a,8
49.494984,431.48569,52.4962,433.18666,1,source_data_fig2.xlsx,a,9
55.493266,431.48542,58.493183,433.18646,1,source_data_fig2.xlsx,a,10
