dataset_id,method_id,observable_type,run_id,condition_label,value,value_sigma,units,source,notes
nature2018_li,ToS,period_T,extdata_fig5_1,near,431.48941,,s,source_data_extdata_fig5.xlsx/c/row2,"condition=Ground, time=7.5d"
nature2018_li,ToS,period_T,extdata_fig5_1,far,433.19044,,s,source_data_extdata_fig5.xlsx/c/row2,"condition=Ground, time=10.5d"
nature2018_li,ToS,period_T,extdata_fig5_2,near,431.48898,,s,source_data_extdata_fig5.xlsx/c/row3,"condition=Ground, time=13.5d"
nature2018_li,ToS,period_T,extdata_fig5_2,far,433.18997,,s,source_data_extdata_fig5.xlsx/c/row3,"condition=Ground, time=16.5d"
nature2018_li,ToS,period_T,extdata_fig5_3,near,431.4885,,s,source_data_extdata_fig5.xlsx/c/row4,"condition=Ground, time=19.5d"
nature2018_li,ToS,period_T,extdata_fig5_3,far,433.18942,,s,source_data_extdata_fig5.xlsx/c/row4,"condition=Ground, time=22.5d"
nature2018_li,ToS,period_T,extdata_fig5_4,near,431.48798,,s,source_data_extdata_fig5.xlsx/c/row5,"condition=Ground, time=25.5d"
nature2018_li,ToS,period_T,extdata_fig5_4,far,433.18895,,s,source_data_extdata_fig5.xlsx/c/row5,"condition=Ground, time=28.5d"
nature2018_li,ToS,period_T,extdata_fig5_5,near,431.48754,,s,source_data_extdata_fig5.xlsx/c/row6,"condition=Ground, time=31.5d"
nature2018_li,ToS,period_T,extdata_fig5_5,far,433.18861,,s,source_data_extdata_fig5.xlsx/c/row6,"condition=Ground, time=34.5d"
nature2018_li,ToS,period_T,extdata_fig5_6,near,431.48721,,s,source_data_extdata_fig5.xlsx/c/row7,"condition=Ground, time=37.5d"
nature2018_li,ToS,period_T,extdata_fig5_6,far,433.18826,,s,source_data_extdata_fig5.xlsx/c/row7,"condition=Ground, time=40.5d"
nature2018_li,ToS,period_T,extdata_fig5_7,near,431.48694,,s,source_data_extdata_fig5.xlsx/c/row8,"condition=Ground, time=43.5d"
nature2018_li,ToS,period_T,extdata_fig5_7,far,433.18798,,s,source_data_extdata_fig5.xlsx/c/row8,"condition=Ground, time=46.5d"
nature2018_li,ToS,period_T,extdata_fig5_8,near,431.48658,,s,source_data_extdata_fig5.xlsx/c/row9,"condition=Ground, time=49.5d"
nature2018_li,ToS,period_T,extdata_fig5_8,far,433.18771,,s,source_data_extdata_fig5.xlsx/c/row9,"condition=Ground, time=52.5d"
nature2018_li,ToS,period_T,extdata_fig5_9,near,431.48641,,s,source_data_extdata_fig5.xlsx/c/row10,"condition=Ground, time=55.5d"
nature2018_li,ToS,period_T,extdata_fig5_9,far,433.18747,,s,source_data_extdata_fig5.xlsx/c/row10,"condition=Ground, time=58.5d"
nature2018_li,ToS,period_T,extdata_fig5_10,near,431.48618,,s,source_data_extdata_fig5.xlsx/c/row11,"condition=Ground, time=61.5d"
nature2018_li,ToS,period_T,extdata_fig5_10,far,433.18733,,s,source_data_extdata_fig5.xlsx/c/row11,"condition=Ground, time=64.5d"
nature2018_li,ToS,period_T,extdata_fig5_11,near,431.48307,,s,source_data_extdata_fig5.xlsx/c/row12,"condition=0.1V, time=70.5d"
nature2018_li,ToS,period_T,extdata_fig5_11,far,433.18421,,s,source_data_extdata_fig5.xlsx/c/row12,"condition=0.1V, time=73.5d"
nature2018_li,ToS,period_T,extdata_fig5_12,near,431.48295,,s,source_data_extdata_fig5.xlsx/c/row13,"condition=0.1V, time=76.5d"
nature2018_li,ToS,period_T,extdata_fig5_12,far,433.184,,s,source_data_extdata_fig5.xlsx/c/row13,"condition=0.1V, time=79.5d"
nature2018_li,ToS,period_T,extdata_fig5_13,near,431.48277,,s,source_data_extdata_fig5.xlsx/c/row14,"condition=0.1V, time=82.6d"
nature2018_li,ToS,period_T,extdata_fig5_13,far,433.18388,,s,source_data_extdata_fig5.xlsx/c/row14,"condition=0.1V, time=85.5d"
nature2018_li,ToS,period_T,extdata_fig5_14,near,431.48273,,s,source_data_extdata_fig5.xlsx/c/row15,"condition=0.1V, time=88.5d"
nature2018_li,ToS,period_T,extdata_fig5_14,far,433.18383,,s,source_data_extdata_fig5.xlsx/c/row15,"condition=0.1V, time=91.5d"
